key,target,source
ftbquests.chapter.3blue_skies.quests.19.title,&2透辉套装,&2Diopside Armor Set
ftbquests.chapter.3blue_skies.quests.20.title,&9绛紫晶套装,&9Charoite Armor Set
ftbquests.chapter.3blue_skies.quests.22.tasks.0.title,获得召唤师的任意掉落物,Collect any of the Summoner's drops
ftbquests.chapter.3blue_skies.quests.23.title,&9&l自然城堡,&9&lThe Natur's Dungeon
ftbquests.chapter.3blue_skies.quests.25.tasks.0.title,获得星熠破灭之树的任意掉落物,Collect any of the Starlit Crusher drops
ftbquests.chapter.3blue_skies.quests.36.title,&9&l恒晓之地:惑乱高塔,&9&lThe Alchemist's Blinding Dungeon
ftbquests.chapter.3blue_skies.quests.37.title,&9&l猛毒地牢,&9&lThe Poison Dungeon
ftbquests.chapter.3blue_skies.quests.42.tasks.0.title,获取炼金术士的任意掉落物,Collect any of the Alchemist's drops
ftbquests.chapter.3blue_skies.quests.43.tasks.0.title,获得幽咽蛛王的任意掉落物,Collect any of the Arachnarch's drops
ftbquests.chapter.3blue_skies.quests.53.title,&6&l余烬石,&6&lThe Cinderstone
ftbquests.chapter.3blue_skies.quests.53.subtitle,为什么不呢？,Why not?
ftbquests.chapter.3blue_skies.quests.53.description.0,只是个漂亮的方块。,Just a beautiful block.
ftbquests.chapter.4flux_networks.title,&c通量网络,&cFlux Networks
ftbquests.chapter.4flux_networks.quests.0.subtitle,Mod的关键制作成分,The key crafting ingredient of the mod
ftbquests.chapter.4flux_networks.quests.0.description.0,这是将红石粉转换为通量粉尘的默认方法。,Here is the default method of converting Redstone Dust into Flux.
ftbquests.chapter.4flux_networks.quests.0.description.2,&lStep 1:&r 找到基岩.,&lStep 1:&r Find some Bedrock.
ftbquests.chapter.4flux_networks.quests.0.description.4,&lStep 2:&r 在基岩上方第二格放置黑曜石。,"&lStep 2:&r Place some Obsidian above it, leaving one block space in between."
ftbquests.chapter.4flux_networks.quests.0.description.6,&lStep 3:&r 在基岩和黑曜石之间投掷一些红石粉。,&lStep 3:&r Throw some Redstone Dust in the gap left by the Bedrock and Obsidian.
ftbquests.chapter.4flux_networks.quests.0.description.8,&lStep 4:&r 左键单击黑曜石，黑曜石会将红石粉压碎在基岩上，并创造通量粉尘！,&lStep 4:&r Left-click the Obsidian. The Obsidian will crush the Redstone Dust against the Bedrock and create Flux!
ftbquests.chapter.4flux_networks.quests.0.description.10,&l每次可放置的红石粉没有数量限制.,&lThere is no limit to the amount of Redstone Dust you can use each time.
ftbquests.chapter.4flux_networks.quests.1.title,&f&l能量网络配置器,&f&lFlux Configurator
ftbquests.chapter.4flux_networks.quests.1.subtitle,能量网络配置器也可以连接到网络,The Flux Configurator can also be connected to a network
ftbquests.chapter.4flux_networks.quests.1.description.0,● 它可用于随时随地访问，编辑，删除网络。并且与连接器共享相同的 GUI。,"● It can be used to access, edit, delete networks on the go. And shares the same GUI as connectors."
ftbquests.chapter.4flux_networks.quests.1.description.2,● 它还可用于在连接器之间复制/粘贴设置。,● It can also be used to copy / paste settings between connectors.
ftbquests.chapter.4flux_networks.quests.1.description.4,&l复制设置:&r 按住 Shift 键并右键单击连接器以复制其设置，然后右键单击要将设置粘贴到的连接器。如果右键单击不是连接器的内容，则会显示网络 GUI，并且还可以编辑配置器将粘贴的设置。配置器也可以在此处重命名，并带有名称字段。,"&lCopying Settings:&r Shift-Right Click on a connector to copy it's settings and then Right Click on a connector you wish to paste the settings to. If you right click something which isn't a connector you'll bring up the Network GUI and also you'll be able to edit the settings which the Configurator will paste. The configurator can also be renamed here, with the name field."
ftbquests.chapter.4flux_networks.quests.2.title,&f&l能量块,&f&lFlux Block
ftbquests.chapter.4flux_networks.quests.2.subtitle,Mod的其他关键制作成分！,Other key crafting ingredients of the mod!
ftbquests.chapter.4flux_networks.quests.3.title,&f&l基础能量存储器,&f&lFlux Storage
ftbquests.chapter.4flux_networks.quests.3.subtitle,用于在网络中存储能量,Used to Store Energy in the network
ftbquests.chapter.4flux_networks.quests.3.description.0,能量存储器用于储存多余的能量。只有当每个通量点获得足够的能量时，它才会被填充。,Flux Storage is used to store excess energy. It will only be filled once each Flux Point has received enough energy.
ftbquests.chapter.4flux_networks.quests.3.description.2,这种能量只能通过用通量点去除能量来获得。,This energy can only be accessed by removing energy with a Flux Point.
ftbquests.chapter.4flux_networks.quests.3.description.4,&7&l这种能量只能通过用通量节点去除能量来获得。,&7&lThis energy can only be accessed by removing energy with a Flux Point.
ftbquests.chapter.4flux_networks.quests.3.description.6,"&b能源容量: 1,000,000 FE","&bEnergy Capacity: 1,000,000 FE"
ftbquests.chapter.4flux_networks.quests.4.title,&f&l能量接入,&f&lFlux Plug
ftbquests.chapter.4flux_networks.quests.4.subtitle,用于向网络添加能量,Used for Adding Energy to the network
ftbquests.chapter.4flux_networks.quests.4.description.0,您可以同时从任意方向添加能量。,You can add energy from all sides simultaneously.
ftbquests.chapter.4flux_networks.quests.5.title,&f&l能量接出,&f&lFlux Point
ftbquests.chapter.4flux_networks.quests.5.subtitle,用于从网络中移出能量,Used to Remove Energy from the network
ftbquests.chapter.4flux_networks.quests.5.description.0,您可以同时从任意方向移出能量。.,You can remove energy from all sides simultaneously.
ftbquests.chapter.4flux_networks.quests.6.title,&f&l能量网络控制器,&f&lFlux Controller
ftbquests.chapter.4flux_networks.quests.6.subtitle,激活时需要 &lCross-dimensional inventory charging,Required to activate &lCross-dimensional inventory charging
ftbquests.chapter.4flux_networks.quests.6.description.0,● 可以在“无线充电”选项卡中配置库存充电,● Inventory charging can be configured in the Wireless Charging Tab.
ftbquests.chapter.4flux_networks.quests.6.description.2,● 一次只能将一个控制器连接到网络。,● Only one controller can be connected to a network at one time.
ftbquests.chapter.4flux_networks.quests.6.description.3,● 控制器的“输出”是指通过无线充电从网络输出的能量。,● The controller's 'Output' refers to energy outputted from the network via Wireless Charging.
ftbquests.chapter.4flux_networks.quests.6.description.5,● &3&l网络不需要能量网络控制器即可运行。,● &3&lNetwork's do not require a Flux Controller to operate.
ftbquests.chapter.4flux_networks.quests.7.description.0,"&b能源容量: 8,000,000 FE","&bEnergy Capacity: 8,000,000 FE"
ftbquests.chapter.4flux_networks.quests.8.description.0,"&b能源容量: 128,000,000 FE","&bEnergy Capacity: 128,000,000 FE"
ftbquests.chapter.4flux_networks.quests.9.title,&f&l通量网络,&f&lFlux Networks
ftbquests.chapter.4flux_networks.quests.9.subtitle,*通过完成 &b&l&o钻石镐&r 解锁任务*,*Unlocked by completing the &b&l&oDiamond Pickaxe&r quest*
ftbquests.chapter.4flux_networks.quests.9.description.0,通量网络使您能够构建无线能源网络。它允许您自定义这些网络并管理整个世界的能源流。,Flux Networks gives you the ability to build Wireless Energy Networks. It allows you to customise these networks and manage the flow of energy across your world.
ftbquests.chapter.4flux_networks.quests.9.description.2,无需将电缆连接到任何地方，从而减少延迟并节省您的时间。能量还可以跨维度传输，使能量管理变得简单。,"Removing the need to have cables going everywhere, hence decreasing lag and saving you time. Energy can also be transferred across dimensions making energy management simple."
ftbquests.chapter.4flux_networks.quests.10.title,&f&l能量核心,&f&lFlux Core
ftbquests.chapter.4flux_networks.quests.10.subtitle,Mod的其他关键制作成分！,Other key crafting ingredients of the mod!
ftbquests.chapter.6all_the_creatives.title,&6创造专属Vs工作台,&6Uncarftable Vs Craftable
ftbquests.chapter.6tough_stuff.title,&6终极挑战,&6Ultimate Challenges
ftbquests.chapter.6tough_stuff.quests.0.title,&c&l&o距离上次死亡有多久了？,&c&l&oSince Last Death
ftbquests.chapter.6tough_stuff.quests.1.title,&b&l&o游戏时间,&b&l&oTime Played
ftbquests.chapter.6tough_stuff.quests.3.title,&6&l&o烧烤之王,&6&l&oKing of the Grill
ftbquests.chapter.6tough_stuff.quests.3.subtitle,有100万片牛排正在等待你来烧烤,1 million steaks waiting to be grilled
ftbquests.chapter.6tough_stuff.quests.9.tasks.0.title,拥有&c3000&r 级经验,"XP Levels: &c3,000"
ftbquests.chapter.6tough_stuff.quests.18.title,&4&l&o冶炼厂,&4&l&oThe Smeltery
ftbquests.chapter.6tough_stuff.quests.18.subtitle,奇  才,Hot Stuff
ftbquests.chapter.6tough_stuff.quests.18.description.0,这个任务无法完成，因为1.16+的ftb任务并没有用来提交能源的显示屏,This Quest can't be completed because we need Task Screens which aren't available for the version 1.16.+
ftbquests.chapter.6tough_stuff.quests.18.description.2,我会保留这个任务，希望未来的FTB任务能重新更新出这个功能,I'll let this quest as optional and hope in the future FTB Quests updates we can complete the quest.
ftbquests.chapter.6tough_stuff.quests.19.title,&5&l&o巨大的能源,&5&l&oAll That Power
ftbquests.chapter.6tough_stuff.quests.19.subtitle,很酷！不是吗？,"Cool, eh?"
ftbquests.chapter.6tough_stuff.quests.19.description.0,这个任务无法完成，因为1.16+的ftb任务并没有用来提交能源的显示屏,This Quest can't be completed because we need Task Screens which aren't available for the version 1.16.+
ftbquests.chapter.6tough_stuff.quests.19.description.2,我会保留这个任务，希望未来的FTB任务能重新更新出这个功能,I'll let this quest as optional and hope in the future FTB Quests updates we can complete the quest.
ftbquests.chapter.6treasures__artifacts.title,&6瑰丽珍宝 \\& 奇异饰品,&6Treasures \\& Artifacts
ftbquests.chapter.7cooking_for_blockheads.title,&7懒人厨房,&7Cooking for Blockheads
ftbquests.chapter.7cooking_for_blockheads.quests.0.title,&9&l欢迎来到懒人厨房！！,&9&lWelcome to Cooking for Blockheads
ftbquests.chapter.7cooking_for_blockheads.quests.0.subtitle,*完成任务&b&l&o食物&r以解锁*,*Unlocked by completing the &b&l&oThe Food&r quest*
ftbquests.chapter.7cooking_for_blockheads.quests.0.description.0,这个模组为Minecraft增加了一本烹饪书。,This mod adds a cooking book along with a functional kitchen to Minecraft.
ftbquests.chapter.7cooking_for_blockheads.quests.0.description.2,他能显示你背包食材能够烹饪的食物。可以通过简单的点击直接使用背包里的食材合成食物。,"Use the book or the Cooking Table to find out what you can cook with what ingredients you currently have available, and start cooking immediately through a single click."
ftbquests.chapter.7cooking_for_blockheads.quests.0.description.4,厨房是模块化的，可以通过额外的单元进行升级，允许扩大存储空间，使水槽提供无限的水，或使烤箱高效的烹饪。有些人甚至抓了一头牛放在一个奶罐里，为他们提供无限的牛奶! ,"The kitchen is modular and can be upgraded through additional blocks, allowing for expanded storage, infinite water for crafting provided by the sink, or efficient and delicious cooking with the oven. Some people even went as far as capturing a cow in a jar to provide them with infinite milk!"
ftbquests.chapter.7cooking_for_blockheads.quests.15.title,厨 具（或厨房用具？,Kitchen Accessories
ftbquests.chapter.7cooking_for_blockheads.quests.16.title,&9&l无限的牛奶（无限奶,&9&lInfinite Milk
ftbquests.chapter.7mystical_agriculture.title,&7神秘农业,&7Mystical Agriculture
ftbquests.chapter.7mystical_agriculture.quests.87.title,园艺玻璃罩与神秘农业的结合,IE Garden Cloche integration with Mystical Agriculture
ftbquests.chapter.7mystical_agriculture.quests.87.description.0,土壤使用:,Soil usage:
ftbquests.chapter.7mystical_agriculture.quests.87.description.1,- 对于Inferium种子，使用所有等级的农田（更高层次的农田=更多的精华）,- For Inferium Seed use all tiers of farmlands (Higher tier of farmland = more essence)
ftbquests.chapter.7mystical_agriculture.quests.87.description.2,- 对于元素种子，使用常规的农田,- For Elemental Seeds use regular minecraft farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.3,- 对于1级种子，请使用inferium farmland,- For Tier 1 Seeds use inferium farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.4,- 对于2级种子，请使用prudentium farmland,- For Tier 2 Seeds use prudentium farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.5,- 对于3级种子，请使用tertium farmland,- For Tier 3 Seeds use tertium farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.6,- 对于4级种子，请使用imperium farmland,- For Tier 4 Seeds use imperium farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.7,- 对于5级种子，请使用supremium farmland,- For Tier 5 Seeds use supremium farmland
ftbquests.chapter.7mystical_agriculture.quests.87.description.8,- 对于6级种子，请使用insanium farmland,- For Tier 6 Seeds use insanium farmland
ftbquests.chapter.7mystical_agriculture.quests.88.title,&5&l欢迎来到神秘农业,&5&lWelcome to Mystical Agriculture
ftbquests.chapter.7mystical_agriculture.quests.88.subtitle,*通过完成 &b&l&o魔法肥料&r 解锁任务*,*Unlocked by completing the &b&l&oMystical Fertilizer&r quest*
ftbquests.chapter.7mystical_agriculture.quests.88.description.0,神秘农业是一个基于用作物种植资源的概念的mod。使用农作物来种植用于制造材料，生物掉落，工具，盔甲甚至更多的东西的精华！,"Mystical Agriculture is a mod based around the concept of growing your resources with crops. Use crops to grow essences used to make materials, mob drops, tools, armor and possibly even more!"
ftbquests.chapter.7occultism.quests.0.title,&9&l欢迎来到PSI,&9&lWelcome to PSI
ftbquests.chapter.7occultism.quests.0.subtitle,*完成任务&b&l&o磨粉机&r以解锁*,*Unlocked by completing the &b&l&oPulverizer&r quest*
ftbquests.chapter.7occultism.quests.0.description.0,Psi是一个神奇的科技咒语编程mod，灵感来自Mahouka。如果这没有任何意义，请不要担心。,Psi is a magical tech spell programming mod inspired by Mahouka. Don't worry if that doesn't make any sense.
ftbquests.chapter.7occultism.quests.0.description.2,Psi的核心是一个系统，您可以在其中创建要在世界上执行的动作序列（“咒语”）。,"The core of Psi is a system where you can create action sequences (\""Spells\"") to be executed in the world."
ftbquests.chapter.7occultism.quests.0.description.4,这个系统之后是一个升级系统，其中包含游戏内文档和各种概念和棋子的教程。该mod利用了基本的数学概念，例如其系统中的Vectors，这使得法术可以做什么有很大的灵活性。,"This system is followed by a leveling system containing ingame documentation and tutorials of the various concepts and pieces you'll get. The mod makes use of basic mathematical concepts, such as Vectors in its systems, which allows for great flexibility on what spells can do."
ftbquests.chapter.7occultism.quests.0.description.6,如果您需要教程，请使用以下链接：,If you need tutorial use the link below:
ftbquests.chapter.7occultism.quests.2.title,&9&lCAD装配台,&9&lThe CAD Assembler
ftbquests.chapter.7occultism.quests.18.title,&9&l盔甲套装,&9&lThe Armor Set
ftbquests.chapter.7occultism.quests.19.title,&9&l工具套装,&9&lThe Tool Set
ftbquests.chapter.7occultism.quests.20.title,&9&l武器,&9&lThe Sword
ftbquests.chapter.8pams_harvest_craft.title,&7潘马斯农场,&7Pam's HarvestCraft
ftbquests.chapter.8pams_harvest_craft.quests.27.title,&c&l美味蛋糕,&c&lDelicious Cakes
ftbquests.chapter.8pams_harvest_craft.quests.35.title,&a&l欢迎来到潘马斯农场！,&a&lWelcome to Pam's HarvestCraft
ftbquests.chapter.8pams_harvest_craft.quests.35.subtitle,*完成任务&b&l&o烤箱&r以解锁 *,*Unlocked by completing the &b&l&oOven&r quest*
ftbquests.chapter.8pams_harvest_craft.quests.35.description.0,潘马斯农村2是一个minecraft模组，添加了食物物品、食材和食谱到游戏中。,"Pam's HarvestCraft 2 is a Minecraft mod pack adding food items, their ingredients, and recipes to the game."
ftbquests.chapter.8pams_harvest_craft.quests.35.description.2,它是潘马斯农村的继承模组。通过食物核心模组作为前置与作物，树木和食物扩展等作为可选添加。 ,"It is the successor to HarvestCraft. It consists of the Food Core mod with the optional additions of Crops, Trees, and Food Extended."
ftbquests.chapter.8pams_harvest_craft.quests.35.description.4,食物核心为minecraft添加了许多的食物，拓展模组也添加了许多新的物品。其中大部分与潘马斯农场1相同，不过也有一些在模型或制作配方上有所不同，甚至有一些是全新的，如全新的厨具擀面杖。并非所有的潘马斯农场1的物品都被添加到潘马斯2中，但作者预计会添加更多全新的物品。,"While the Food Core mod adds recipes to the vanilla Minecraft food items, the other mods add new items. Many of these are identical to those of HarvestCraft 1, but some also differ in appearance or crafting recipe, and some are new altogether, such as the new utensil Roller. Not all items of HarvestCraft 1 have been added to HarvestCraft 2, but more are expected to be added."
ftbquests.chapter.8pams_harvest_craft.quests.97.subtitle,*完成任务&b&l&o熔炉&r以解锁 *,*Unlocked by completing the &b&l&oFurnace&r quest*
ftbquests.chapter.8pams_harvest_craft.quests.98.subtitle,*完成任务&b&l&o熔炉&r以解锁 *,*Unlocked by completing the &b&l&oFurnace&r quest*
ftbquests.chapter.8pams_harvest_craft.quests.107.title,&e&l狂热的酸奶爱好者,&e&lYogurt Mania
ftbquests.chapter.8pams_harvest_craft.quests.120.title,&f&l厨具,&f&lCooking Utensils
ftbquests.chapter.8pams_harvest_craft.quests.120.subtitle,*完成任务&b&l&o烹饪桌&r以解锁*,*Unlocked by completing the &b&l&oCooking Table&r quest*
ftbquests.chapter.9ars_nouveau.title,&9新生魔艺,&9Ars Nouveau
ftbquests.chapter.9ars_nouveau.quests.0.title,&6&l欢迎来到新生魔艺,&6&lWelcome to Ars Nouveau
ftbquests.chapter.9ars_nouveau.quests.0.subtitle,*完成任务&b&l&o低级机器框架&r以解锁*,*Unlocked by completing the &b&l&oPity Machine Frame&r quest*
ftbquests.chapter.9ars_nouveau.quests.0.description.0,新生魔艺是一个魔法mod，允许玩家制作自己的咒语，创造魔法神器，执行仪式等等。,"Ars Nouveau is a magic mod that allows players to craft their own spells, create magical artifacts, perform rituals, and much more."
ftbquests.chapter.9ars_nouveau.quests.0.description.2,有了新生魔艺，你将学会利用注入一切事物的魔力来施放强大的法术，驾驶神秘的机械，通过强大的魔法机器与可爱的魔法仆人自动化你的基地！。,"With Ars Nouveau you will learn to harness the mana infused in all things to cast powerful spells, drive arcane machinery, and even to empower some cute friends along the way."
ftbquests.chapter.9ars_nouveau.quests.1.subtitle,Mana是新生魔艺中每个咒语和神秘装置背后的驱动力,Mana is the driving energy behind every spell and arcane device in Ars Nouveau
ftbquests.chapter.9ars_nouveau.quests.1.description.0,从制作一个魔力冷凝器和一个魔力罐开始。制作他们所需的魔力宝石可以从奥数矿石中获取。所以请留意紫色的奥术矿石，你可以在任何深度找到他们。,Craft a Mana Condenser and a Mana Jar to begin. The Mana Gems required can be found while mining at any depth. Keep an eye out for purple Arcane Ore.
ftbquests.chapter.9ars_nouveau.quests.1.description.2,要开始凝聚魔力，请先将魔力罐放置，然后将魔力凝聚器放在其上。魔力来自三个主要来源：,"To begin condensing Mana, place the Mana Jar and then place the Mana Condenser on top of it. Mana is drawn from three primary sources:"
ftbquests.chapter.9ars_nouveau.quests.1.description.4,● 作物进入生长阶段,● Crops advancing a growth stage
ftbquests.chapter.9ars_nouveau.quests.1.description.5,● 繁殖动物,● Breeding animals
ftbquests.chapter.9ars_nouveau.quests.1.description.6,● 杀死生物,● Killing mobs
ftbquests.chapter.9ars_nouveau.quests.1.description.8,考虑在这些地方附近设置一个罐子和冷凝器。它可以在大约10-15个块半径内检测此类事件，具体取决于事件的类型。如果自动化，大型农作物农场或基本的暴民农场可以相对快速地产生魔法值,"Consider setting up a jar and condenser nearby such places. It can detect such events in a roughly 10-15 block radius, depending on the type of event. A large crop farm or a basic mob farm can produce mana relatively quickly if automated."
ftbquests.chapter.9ars_nouveau.quests.2.description.0,并非每个人生来便拥有有绿拇指。但值得庆幸的是，法力自然会从熔岩中流出，逃逸到空中。这个装置有助于收集这些微量的魔法值，以便它们可以被使用。（这样你就能拥有绿拇指了！（确信）,"Not every practitioner is born with a green-thumb. Thankfully, mana naturally trickles out of molten lava, escaping into the air. This device assists in collecting these trace amounts of mana so they may be put to use."
ftbquests.chapter.9ars_nouveau.quests.3.description.0,结晶器可以将周围的魔力凝聚，从而形成魔力水晶,Arcane Crystals can be crystallized directly from the surrounding mana.
ftbquests.chapter.9ars_nouveau.quests.3.description.2,尽早建造结晶器吧，这可以帮助你获得很多有用的魔力水晶。,Build a Crystallizer early on to help obtain more of these very useful gems.
ftbquests.chapter.9ars_nouveau.quests.4.title,&6&l魔符压印,&6&lGlyph Press
ftbquests.chapter.9ars_nouveau.quests.4.subtitle,魔符压印器只接受两件物品;特殊种类的粘土和魔力试剂（就是法力）,The Glyph Press will accept up to two items; a type of clay and a reagent
ftbquests.chapter.9ars_nouveau.quests.4.description.0,先放粘土，再添加材料，即可在魔源罐满足条件下，合成符文。。,Both are consumed along with a fair amount of mana from a nearby Mana Jar to create new Glyphs.
ftbquests.chapter.9ars_nouveau.quests.4.description.2,可以通过右键符文来学习它们。它们将出现在你的咒语书中，用于创作新的咒语。,Glyphs can be learned by right clicking them. They'll then appear within your spellbook for use in crafting new spells.
ftbquests.chapter.9ars_nouveau.quests.5.title,&6&l魔法粘土,&6&lMagic Clay
ftbquests.chapter.9ars_nouveau.quests.5.description.0,通过将魔力宝石和粘土混合，可以使它拥有魔力核心，从而变成魔法粘土，这将有助于你获得更大的力量。,By working Mana Gems into Clay a focus can be formed which will aid an aspiring magician in harnessing greater powers.
ftbquests.chapter.9ars_nouveau.quests.5.description.2,为了学习新的咒语，你可以使用这种魔法粘土（或者其他拥有魔力的粘土：比如神话粘土）在魔符压印器中合成符文。,"In order to learn new spells, this Magic Clay and its variants may be pressed in a Glyph Press along with some other reagent to form a focus."
ftbquests.chapter.9ars_nouveau.quests.6.description.0,以下咒语可以作为前期的一种飞行方法,A simple early form of flight can be crafted using the following spell:
ftbquests.chapter.9ars_nouveau.quests.6.description.2,● 发射 > 腾跃 > 缓降,● Self > Leap > Slowfall
ftbquests.chapter.9ars_nouveau.quests.6.description.4,通过这个顺序使用符文可以推动玩家朝着他们所面对的方向前进，同时能为最终着陆提供缓冲。,"Casting this propels the user in the direction they're facing, while also providing some cushioning for the eventual landing."
ftbquests.chapter.9ars_nouveau.quests.7.title,&6&l非凡粘土,&6&lMarvelous Clay
ftbquests.chapter.9ars_nouveau.quests.7.description.0,非凡粘土可以解锁2级法术创造。不过二级法术需要法师的法术书（真叫这个名字）来施放。,Marvelous Clay unlocks the creation of Tier 2 spells. These also require an Apprentice's Spellbook to cast.
ftbquests.chapter.9ars_nouveau.quests.8.description.0,通过这两种魔咒你可以选取（指抛射）一个矿石，对它进行熔炉，然后远程把它收入囊中,"For example, a spell can be made that will smelt a ranged block, break it, and bring it to your inventory."
ftbquests.chapter.9ars_nouveau.quests.8.description.2,● 射出魔符（咒） > 熔炼 > 破坏 > 拾取,● Projectile > Smelt > Break > Item Pickup
ftbquests.chapter.9ars_nouveau.quests.8.description.4,你同样可以使用这些符咒来精准采集，就比如将沙子熔炼成玻璃，再收入背包（可以不用熔炉力！！）,"Adding an Extract augment after the Break will apply Silk Touch, allowing the above spell to create Glass from Sand."
ftbquests.chapter.9ars_nouveau.quests.8.description.6,●  射出魔符（咒）> 熔炼 > 破坏 > 提炼>拾取（曲逸：我没搞懂）,● Projectile > Smelt > Break > Extract > Item Pickup
ftbquests.chapter.9ars_nouveau.quests.8.description.8,以下搭配会将时运魔咒应用于破坏后可掉落的方块，并将掉落物传送到您的物品栏中。非常适合开采那些难以触及到的钻石。,"Similarly, the following will apply Fortune to the broken block and transport the result to your inventory. Great for those hard to reach diamonds."
ftbquests.chapter.9ars_nouveau.quests.8.description.10,● 射出魔符（咒） > 破坏 > 时运 >拾取 ,● Projectile > Break > Fortune > Item Pickup
ftbquests.chapter.9ars_nouveau.quests.9.title,&6&l神话粘土,&6&lMythical Clay
ftbquests.chapter.9ars_nouveau.quests.9.description.0,“神话粘土可以解锁了3级法术创造。当然，三级法术需要大法师法术书才能释放（本模组最高级符咒）。,Mythical Clay unlocks the creation of Tier 3 spells. These also require an Archmage's Spellbook to cast.
ftbquests.chapter.9ars_nouveau.quests.11.title,&6&l附魔装置,&6&lEnchanting Apparatus
ftbquests.chapter.9ars_nouveau.quests.11.description.0,要想使用附魔装置，请在其3格内放置任意数量的奥术基座，并在其上放置物品。之后，对附魔装置使用试剂物品即可开始合成。附魔装置下方需要放置一个奥术核心，否则它不会运行。,"To construct the Enchanting Apparatus, place down the Arcane Core with the Enchanting Apparatus on top of it. The Pedestals can be placed anywhere in an 11x11 area centered on the Core. A Mana Jar with mana must also be present nearby."
ftbquests.chapter.9ars_nouveau.quests.11.description.2,需要先放周围基座上面的物品，最后拿核心物品右键附魔装置激活，成功激活后会有粒子效果。（作者写的教程好奇怪，一般人看不懂，我给你们改下）,"To work with it, place the reagents in the pedestals and the focus in the Enchanting Apparatus itself, then Sneak Right Click the Apparatus with an empty hand."
ftbquests.chapter.9ars_nouveau.quests.12.title,魔符饰品,Curious Charms
ftbquests.chapter.9ars_nouveau.quests.13.subtitle,法师之花种子生长于世俗与魔法世界的交接之处l,The Mana Bloom sits at the border between the mundane and the magical
